Reason,Severity,TenderKey,Authority,Tender Title,Technology,Capacity MW,What to do,Source URL,Award URL
WINNER_UNVERIFIED,HIGH,T-172f6093be8e,MSEDCL,"Adani Power Wins MSEDCL's 2,500 MW Renewable RTC Power Supply Contract - energetica-india.net",Round-the-Clock / CfD / Trading,2500.0,"open the Award URL, confirm the winner, then record it in manual_awards.csv",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZ1lsbUpQbElWV0w4OUtXSVZyX2dBY1Z0cVhpQzZnaWJFeG43LVJQYUZNbGdsY09TaUpTdWpSdlhUUGttR1QwbzFaeUpXMENuZ0VVM3pUMEl1X3A1Q3FRSjJIaEkzNVpsVkZlYWEya2pRVHdKQXotTkJLNi03REpTZFlHamRKdGhGOEl1UjNCUnlhdUJnMDdPUUtNY3BCQVhZYzJlTnpjMlZBUQ?oc=5,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZ1lsbUpQbElWV0w4OUtXSVZyX2dBY1Z0cVhpQzZnaWJFeG43LVJQYUZNbGdsY09TaUpTdWpSdlhUUGttR1QwbzFaeUpXMENuZ0VVM3pUMEl1X3A1Q3FRSjJIaEkzNVpsVkZlYWEya2pRVHdKQXotTkJLNi03REpTZFlHamRKdGhGOEl1UjNCUnlhdUJnMDdPUUtNY3BCQVhZYzJlTnpjMlZBUQ?oc=5
WINNER_UNVERIFIED,HIGH,T-ff2d1ff995b7,MSEDCL,"Adani Power Secures 2,500 MW RE RTC Supply Deal With MSEDCL - solarquarter.com",Round-the-Clock / CfD / Trading,2500.0,"open the Award URL, confirm the winner, then record it in manual_awards.csv",https://news.google.com/rss/articles/CBMimwFBVV95cUxPZWNZNXdpMk4xckozclFCY1l3U0hmODZvVUdib3k4Rl9xOVZjeHIwcUI0aHZBcFFqWFhIdjktaFNnMHZ0UVRNRjJYWUV5R0I1U2ZjNDJwVEN0dkJrbU8zWEJFY1lSZTEzSElDRjJpV25QZkN3a0kyTkVXVG40c0FVX1A5ZEF5dW5Ldzd1T19YdmJfemNqYjRkcE5iMA?oc=5,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZWNZNXdpMk4xckozclFCY1l3U0hmODZvVUdib3k4Rl9xOVZjeHIwcUI0aHZBcFFqWFhIdjktaFNnMHZ0UVRNRjJYWUV5R0I1U2ZjNDJwVEN0dkJrbU8zWEJFY1lSZTEzSElDRjJpV25QZkN3a0kyTkVXVG40c0FVX1A5ZEF5dW5Ldzd1T19YdmJfemNqYjRkcE5iMA?oc=5
WINNER_UNKNOWN,HIGH,T-1c6e9277976b,SECI,"RfS for Supply of 2250 MW RTC Power from RE Projects, complemented with Power from any other source or storage in India ",Round-the-Clock / CfD / Trading,2250.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Z2I,
WINNER_UNKNOWN,HIGH,1c6e9277976b,SECI,"RfS for Supply of 2250 MW RTC Power from RE Projects, complemented with Power from any other source or storage in India ",Round-the-Clock / CfD / Trading,2250.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Z2I,
WINNER_UNKNOWN,HIGH,T-80096b52963a,NTPC,NIT For Selection of Solar Power Developers for 2000 MW Grid-connected Solar PV Power Plants to be set up anywhere in In,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/18706,
WINNER_UNKNOWN,HIGH,T-1990e7256edf,NTPC,Selection of Developers for Setting up of 2000 MW ISTS Connected Wind Power Projects,Wind,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/18716,
WINNER_UNKNOWN,HIGH,T-cd9f5c9e69c5,SECI,RfS for 2000 MW ISTS-connected Solar PV Power Projects in India (ISTS-IX),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Zg,
WINNER_UNKNOWN,HIGH,cd9f5c9e69c5,SECI,RfS for 2000 MW ISTS-connected Solar PV Power Projects in India (ISTS-IX),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Zg,
WINNER_UNKNOWN,HIGH,T-2ff6bbf36dbb,SECI,RfS for 2000 MW ISTS-connected Wind Power Projects in India (Tranche-IX),Wind,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/ZQ,
WINNER_UNKNOWN,HIGH,2ff6bbf36dbb,SECI,RfS for 2000 MW ISTS-connected Wind Power Projects in India (Tranche-IX),Wind,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/ZQ,
WINNER_UNKNOWN,HIGH,T-a4d731ac2ccd,NTPC,LAND AND EHV TRANSMISSION SYSTEM PACKAGE FOR DEVELOPMENT OF ISTS CONNECTED SOLAR PV PROJECTS (UPTO 2GW) IN RAJASTHAN.,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/25090,
WINNER_UNKNOWN,HIGH,T-79b966936bfc,NTPC,LAND AND EHV TRANSMISSION SYSTEM PACKAGE FOR DEVELOPMENT OF UPTO 2GW ISTS CONNECTED SOLAR PV PROJECTS IN RAJASTHAN (TRAN,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/25464,
WINNER_UNKNOWN,HIGH,T-d9b5a60369bc,SECI,RfS for Selection of Solar Power Developers for Setting up of 2000 MW ISTS-connected Solar PV Power Projects (ISTS-XI),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aGU,
WINNER_UNKNOWN,HIGH,d9b5a60369bc,SECI,RfS for Selection of Solar Power Developers for Setting up of 2000 MW ISTS-connected Solar PV Power Projects (ISTS-XI),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aGU,
WINNER_UNKNOWN,HIGH,T-cdc425d33777,NTPC,LAND & EHV TRANSMISSION SYSTEM PACKAGE FOR DEVELOPMENT OF UPTO 2GW ISTS CONNECTED SOLAR PV PROJECTS IN RAJASTHAN (TRANCH,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/26222,
WINNER_UNKNOWN,HIGH,T-d16eed10cbe6,SECI,RfS for Selection of Hybrid Power Developers for Setting up of 2000 MW ISTS-connected Wind-Solar Hybrid Power Projects i,Wind-Solar Hybrid,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWJ_,
WINNER_UNKNOWN,HIGH,d16eed10cbe6,SECI,RfS for Selection of Hybrid Power Developers for Setting up of 2000 MW ISTS-connected Wind-Solar Hybrid Power Projects i,Wind-Solar Hybrid,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWJ_,
WINNER_UNKNOWN,HIGH,T-8221043315a9,NTPC,"Hiring of 01 No. of Commercial Vehicle (RAJASTHAN REGISTERED) for 12 hrs Duty at Fatehgarh 2GW Solar Project, Rajasthan ",Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/26937,
WINNER_UNKNOWN,HIGH,T-a85c11b0dc5c,NTPC,DEPLOYMENT OF 01 NO. OF COMMERCIAL VEHICLE RAJASTHAN REGISTERED FOR A PERIOD OF TWO YEARS AT BIKANER 2GW SOLAR PROJECT R,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/26978,
WINNER_UNKNOWN,HIGH,T-3c01e0b229a4,NTPC,Commercial Vehicle for 12 Hrs. Duty at Fatehgarh 2GW Solar Project (Mahindra Scorpio / Bolero Neo or Equivalent) for a P,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27058,
WINNER_UNKNOWN,HIGH,T-dfa4729456ff,NTPC,"Providing Pantry Services, House Keeping, Office Attendant and Security to Fatehgarh 2 GW Solar Project, Jaisalmer, Raja",Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27056,
WINNER_UNKNOWN,HIGH,T-382db0798599,NTPC,HIRING OF 01 NO OF COMMERCIAL VEHICLE RAJASTHAN REGISTERED FOR 12 HRS DUTY AT FATEHGARH 2GW SOLAR PROJECT RAJASTHAN MAHI,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27146,
WINNER_UNKNOWN,HIGH,T-f09cd6b48dae,NTPC,HIRING OF 01 NO OF COMMERCIAL VEHICLE RAJASTHAN REGISTERED FOR 12 HRS DUTY AT FATEHGARH 2GW SOLAR PROJECT RAJASTHAN MAHI,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27351,
WINNER_UNKNOWN,HIGH,T-245ef5160dd8,NTPC,"LAND AND POWER EVACUATION PACKAGE FOR DEVELOPMENT OF 2000MW ISTS CONNECTED SOLAR PV PROJECTS IN BARMER, RAJASTHAN.",Transmission / Evacuation,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/26774,
WINNER_UNKNOWN,HIGH,T-3783bf989885,NTPC,Hiring of 01 No. of Commercial Vehicle for 12 Hrs Duty at Fatehgarh 2GW Solar Project (Mahindra Scorpio 4WD or Equivalen,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27644,
WINNER_UNKNOWN,HIGH,T-f1fb74da8652,NTPC,Deployment of one (1) no. of commercial Vehicle AC Mahindra Scorpio or equivalent (4X4 drive) for a period of Two (02) y,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27689,
WINNER_UNKNOWN,HIGH,T-c51d2f5bb67c,SECI,RfS for Setting up of 2000 MW ISTS-connected Solar PV Power Projects with 1000 MW/4000 MWh Energy Storage Systems (ESS) ,Solar + Storage,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWR1,
WINNER_UNKNOWN,HIGH,c51d2f5bb67c,SECI,RfS for Setting up of 2000 MW ISTS-connected Solar PV Power Projects with 1000 MW/4000 MWh Energy Storage Systems (ESS) ,Solar + Storage,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWR1,
WINNER_UNKNOWN,HIGH,T-d7119b95b074,NTPC,"Providing Pantry Services, House Keeping and Office Attendant for Bikaner 2 GW Solar Project, Bikaner, Rajasthan for 24 ",Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/27827,
WINNER_UNKNOWN,HIGH,T-e753088b3edc,SECI,RfS for assured Peak supply of 8000 MWh (2000 MW x 4 Hrs.) from ISTS-Connected RE Projects (SECI-FDRE-VI),Round-the-Clock / CfD / Trading,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWV3,
WINNER_UNKNOWN,HIGH,e753088b3edc,SECI,RfS for assured Peak supply of 8000 MWh (2000 MW x 4 Hrs.) from ISTS-Connected RE Projects (SECI-FDRE-VI),Round-the-Clock / CfD / Trading,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWV3,
WINNER_UNKNOWN,HIGH,T-c04de5b53575,NTPC,DEPLOYMENT OF 01 NO OF COMMERCIAL VEHICLE RAJASTHAN REGISTERED FOR A PERIOD OF TWO 2 YEARS AT FATEHGARH 2GW SOLAR PROJEC,Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/28071,
WINNER_UNKNOWN,HIGH,T-9b1801135eba,NTPC,"Providing Pantry Services, House Keeping and Office Attendant for Bikaner 2 GW Solar Project, Bikaner, Rajasthan for 24 ",Solar,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/28251,
WINNER_UNKNOWN,HIGH,T-63ae192d2424,NTPC,DEVELOPMENT OF PUMPED HYDRO ENERGY STORAGE (PHES) PROJECT(S) UP TO 2000MW CAPACITY (ANYWHERE IN INDIA).,Pumped Storage,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/25909,
WINNER_UNKNOWN,HIGH,T-48d9a559bdaf,SECI,RfS for 2000 MW ISTS-Connected Solar PV Power Projects with 1000 MW/ 4000 MWh ESS in India (SECI-ISTS-XX),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YmJ1,https://news.google.com/rss/articles/CBMizwFBVV95cUxPXzlHRmE3WmJXVEEwb0FpQU9rMlJid1FzQTgyWFZXVmQtV2hsNTVVOTNZazl2OTYxbFRrTFdKREwtYjEtSkt3YUpfT2E3SGt1dGQyOHpEUk9zb3NVZFlPMmp1akRpdlh6alZuanVQUjRJSmVVLWhBd3JBUUhPaVFISFhDWDFvX0R6SzFlNHhKWUNjaW5OQlh5NlB1RDdvMmt3WmFoVDdYY2tnYU9hXzB1RktOODNnaHlSWFlfZ0hpNUZyTEJibkNyLXkyX1B4b0U?oc=5
WINNER_UNKNOWN,HIGH,48d9a559bdaf,SECI,RfS for 2000 MW ISTS-Connected Solar PV Power Projects with 1000 MW/ 4000 MWh ESS in India (SECI-ISTS-XX),Solar,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YmJ1,https://news.google.com/rss/articles/CBMizwFBVV95cUxPXzlHRmE3WmJXVEEwb0FpQU9rMlJid1FzQTgyWFZXVmQtV2hsNTVVOTNZazl2OTYxbFRrTFdKREwtYjEtSkt3YUpfT2E3SGt1dGQyOHpEUk9zb3NVZFlPMmp1akRpdlh6alZuanVQUjRJSmVVLWhBd3JBUUhPaVFISFhDWDFvX0R6SzFlNHhKWUNjaW5OQlh5NlB1RDdvMmt3WmFoVDdYY2tnYU9hXzB1RktOODNnaHlSWFlfZ0hpNUZyTEJibkNyLXkyX1B4b0U?oc=5
WINNER_UNKNOWN,HIGH,T-2ec1ded70236,SECI,RfS for 2000 MW ISTS-Connected Wind Power Projects in India (SECI-Tranche-XX),Wind,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Ymd3,https://news.google.com/rss/articles/CBMiugFBVV95cUxPZDAzRmdYTE5vYXFDcmV1OXJfLUZlVi1lR3l5R0tBOFpZdGVpUmlLdXdBY05EbFdFZEhTaVVoU1BhZks4UzNDczZxb2JKY3hLVVpFT1cwZWFwNFBMRVNhOFQxaWU5N1BQaFFFMGpwZjNvNE01VGtQU0Y2REl4cDBaV0djaU1GX2VWbG12TENCUGxFQWM2NTB4TjBrSk5NVmo1VnQ3cVlBemdJVUszaEo3eTRRWHNrdWk1N0HSAb8BQVVfeXFMTkdpYldiVzQ1VFlKR291OGVQZi16UWM0ZmMyeE5QSTBoWFdITkt4a0hiMTVKd1lQTFF1UEZGdVRiR2RfbkxaOG11aWJvOVpKb1VudlN5a3RoZUduUVFLTGdkWURONVBsZTVBZWtmOWpNemNsWlg4LVIwSV9OYUVDZlhENkk4ejVrcTBQbVljSF9YZVg3NldXdS1FdTlxRFAtbXNZVkNUTVFlZnQtaS1BVHFFN2NwSFBxVXc0TmstWmc?oc=5
WINNER_UNKNOWN,HIGH,2ec1ded70236,SECI,RfS for 2000 MW ISTS-Connected Wind Power Projects in India (SECI-Tranche-XX),Wind,2000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Ymd3,https://news.google.com/rss/articles/CBMiugFBVV95cUxPZDAzRmdYTE5vYXFDcmV1OXJfLUZlVi1lR3l5R0tBOFpZdGVpUmlLdXdBY05EbFdFZEhTaVVoU1BhZks4UzNDczZxb2JKY3hLVVpFT1cwZWFwNFBMRVNhOFQxaWU5N1BQaFFFMGpwZjNvNE01VGtQU0Y2REl4cDBaV0djaU1GX2VWbG12TENCUGxFQWM2NTB4TjBrSk5NVmo1VnQ3cVlBemdJVUszaEo3eTRRWHNrdWk1N0HSAb8BQVVfeXFMTkdpYldiVzQ1VFlKR291OGVQZi16UWM0ZmMyeE5QSTBoWFdITkt4a0hiMTVKd1lQTFF1UEZGdVRiR2RfbkxaOG11aWJvOVpKb1VudlN5a3RoZUduUVFLTGdkWURONVBsZTVBZWtmOWpNemNsWlg4LVIwSV9OYUVDZlhENkk4ejVrcTBQbVljSF9YZVg3NldXdS1FdTlxRFAtbXNZVkNUTVFlZnQtaS1BVHFFN2NwSFBxVXc0TmstWmc?oc=5
WINNER_UNKNOWN,HIGH,T-2298de2387a8,NTPC,SELECTION OF DEVELOPER(S) FOR ISTS CONNECTED PUMP HYDRO ENERGY STORAGE SOLUTIONS OF 2000 MW / 12000 MWh WITH 500 MW (MIN,Pumped Storage,2000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/29893,
WINNER_UNVERIFIED,HIGH,T-fbcb1c127eb4,SECI,"Purvah, SAEL Among Winners of SECI’s 2 GW Solar, 4 GWh Energy Storage Auction - Mercomindia.com",Solar + Storage,2000.0,"open the Award URL, confirm the winner, then record it in manual_awards.csv",https://news.google.com/rss/articles/CBMinwFBVV95cUxNa093ZGg5dFlMSkNKTVZKV2ZfRzEwdkhNN25DVk9Nd2RIUzA5NlhQOVRucHhIbTMtZ2ZKV3ZLdDA2UURISjJDRjlqVDhkVF9iUnhLdjdvcmJJSGx4M0hHQ3gzQVU4QlhGSmh1WmItYUV3MFd5bWllSmhKS0o0UXc0dU16ei0tTXNsUnRLWExiUm9LZUxhMDZZNHdJU2lYNXM?oc=5,https://news.google.com/rss/articles/CBMinwFBVV95cUxNa093ZGg5dFlMSkNKTVZKV2ZfRzEwdkhNN25DVk9Nd2RIUzA5NlhQOVRucHhIbTMtZ2ZKV3ZLdDA2UURISjJDRjlqVDhkVF9iUnhLdjdvcmJJSGx4M0hHQ3gzQVU4QlhGSmh1WmItYUV3MFd5bWllSmhKS0o0UXc0dU16ei0tTXNsUnRLWExiUm9LZUxhMDZZNHdJU2lYNXM?oc=5
WINNER_UNKNOWN,HIGH,T-2bca1dd2f0ad,SECI,RfS for Setting up of 1785 MW Grid-Connected Solar PV Power projects in Rajasthan (Tranche-IV),Solar,1785.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Y2I,
WINNER_UNKNOWN,HIGH,2bca1dd2f0ad,SECI,RfS for Setting up of 1785 MW Grid-Connected Solar PV Power projects in Rajasthan (Tranche-IV),Solar,1785.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Y2I,
WINNER_UNKNOWN,HIGH,T-d2a00c098b6d,SECI,"Tender for the Manufacturing, Testing, Packing and Forwarding, Supply and Transportation of 1680 MWp Domestically Manufa",Solar,1680.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/ZmU,
WINNER_UNKNOWN,HIGH,d2a00c098b6d,SECI,"Tender for the Manufacturing, Testing, Packing and Forwarding, Supply and Transportation of 1680 MWp Domestically Manufa",Solar,1680.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/ZmU,
WINNER_UNVERIFIED,HIGH,T-75d161984b5f,MPPMCL,Adani Power Secures LoA for total 1600 MW Capacity from MPPMCL - Adani,Unclassified,1600.0,"open the Award URL, confirm the winner, then record it in manual_awards.csv",https://news.google.com/rss/articles/CBMirAFBVV95cUxNMGo0X0NqWDZDSFJ2bkJlby0zXzlvd29MYlROdk9EMllXaUxRSGlfT0FVUEpvOXhfb2FVV044c3JHaG5COVNIR1RMY0dzbGwtcFJTbFBKU2NucFNpMnF6UzE3TGotWE0xaldyNWRNcmRvc1NwdGowTzFueVZNS0VpUnV0YnNIcFYtWFNYYVc3MlJleldDQlVwM3Zyd2VrMWFVREkxcnpEa2VxLUJD?oc=5,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMGo0X0NqWDZDSFJ2bkJlby0zXzlvd29MYlROdk9EMllXaUxRSGlfT0FVUEpvOXhfb2FVV044c3JHaG5COVNIR1RMY0dzbGwtcFJTbFBKU2NucFNpMnF6UzE3TGotWE0xaldyNWRNcmRvc1NwdGowTzFueVZNS0VpUnV0YnNIcFYtWFNYYVc3MlJleldDQlVwM3Zyd2VrMWFVREkxcnpEa2VxLUJD?oc=5
